Gene Id	SEQC-A TaqMan mean	SEQC-B TaqMan mean
ENSG00000000938	0.00080352	0.038514445
ENSG00000002016	0.072231185	0.072122485
ENSG00000002587	0.013382205	0.217469525
ENSG00000002933	0.00847602	0.287672585
ENSG00000003402	0.25812966	0.4479693
ENSG00000003756	0.21094758	0.22247962
ENSG00000004059	0.84317638	0.91705956
ENSG00000004779	1.76174443	1.09466306
ENSG00000005189	0.062440935	0.01507426
ENSG00000005981	0.00050067	0.000913625
ENSG00000006016	0.33452783	0.081094655
ENSG00000006062	0.09480533	0.104324135
ENSG00000006071	0.001410255	0.180657565
ENSG00000006116	0.002582765	0.64186356
ENSG00000006210	0.28069901	1.081973355
ENSG00000006282	0.12672672	0.13949065
ENSG00000006831	0.612506235	0.66036523
ENSG00000007402	0.048960325	0.293617285
ENSG00000007908	0.00074068	0.004921785
ENSG00000007968	0.01899887	0.00032397
ENSG00000008438	0.00050608	0.00084813
ENSG00000009724	0.001725825	0.00048363
ENSG00000011009	0.639542905	0.242209695
ENSG00000013275	0.908159395	0.648946465
ENSG00000014919	0.35756825	0.2116074
ENSG00000015592	0.00793096	1.67584728
ENSG00000016602	0.00038451	0.018118075
ENSG00000018625	0.0880579	6.133439865
ENSG00000022355	0.00382601	1.15851454
ENSG00000022840	0.903874775	0.976881955
ENSG00000023228	1.27567556	1.797345005
ENSG00000023287	0.205860025	0.38398202
ENSG00000023839	0.425649445	0.002640845
ENSG00000025708	0.021968085	0.020806895
ENSG00000026652	0.113641095	0.46991869
ENSG00000033122	0.00654388	0.38484045
ENSG00000034510	38.66535661	18.08742097
ENSG00000035720	0.002148485	0.00040228
ENSG00000036530	0.0017874	0.37582731
ENSG00000039068	0.698204165	0.028424615
ENSG00000043591	0.04610882	0.35825382
ENSG00000044012	0.00044329	0.00048363
ENSG00000044524	0.095624075	0.02725078
ENSG00000047457	1.04735728	0.271837195
ENSG00000047597	0.04923307	0.077973005
ENSG00000048028	0.3033318	0.192304105
ENSG00000049245	0.822881345	1.04859897
ENSG00000049249	0.028730755	0.000470535
ENSG00000049283	0.0073962	0.01265386
ENSG00000051180	0.55281442	0.007078645
ENSG00000053501	0.18515247	0.216519055
ENSG00000055332	0.634350995	0.448296265
ENSG00000055955	0.03803429	0.06967729
ENSG00000056558	0.067267775	0.019107845
